id,station_id,stop_id,station_name,stop_desc,run_number,route_id,destination_id,destination_name,route_direction_code,prediction_generated,expected_arrival,is_approaching,is_scheduled,is_fit,is_delayed
262,30191,30191,69th,Service toward Howard,819,Red,30191,Howard,1,2012-10-10 11:06:43-05,2012-10-10 11:07:43-05,1,0,0,0
263,30047,30047,79th,Service toward 95th,844,Red,30047,95th/Dan Ryan,5,2012-10-10 11:06:38-05,2012-10-10 11:15:38-05,0,0,0,0
264,30046,30046,79th,Service toward Howard,903,Red,30046,Howard,1,2012-10-10 11:06:45-05,2012-10-10 11:15:45-05,0,1,1,1
265,30276,30276,87th,Service toward 95th,814,Red,30276,95th/Dan Ryan,5,2012-10-10 11:06:31-05,2012-10-10 11:10:31-05,0,0,0,0
266,30276,30276,87th,Service toward 95th,844,Red,30276,95th/Dan Ryan,5,2012-10-10 11:06:38-05,2012-10-10 11:19:38-05,0,0,0,0
267,30275,30275,87th,Service toward Howard,903,Red,30275,Howard,1,2012-10-10 11:06:45-05,2012-10-10 11:12:45-05,0,1,0,0
268,30088,30088,95th/Dan Ryan,Service toward Howard,903,Red,30088,Howard,1,2012-10-10 11:06:45-05,2012-10-10 11:10:45-05,0,1,0,0
269,30274,30274,Addison,Service toward 95th,801,Red,30274,95th/Dan Ryan,5,2012-10-10 11:02:24-05,2012-10-10 11:09:24-05,0,0,0,1
270,30274,30274,Addison,Service toward 95th,822,Red,30274,95th/Dan Ryan,5,2012-10-10 11:06:24-05,2012-10-10 11:17:24-05,0,0,0,0
271,30274,30274,Addison,Service toward 95th,906,Red,30274,95th/Dan Ryan,5,2012-10-10 11:06:24-05,2012-10-10 11:21:24-05,0,0,0,0
272,30273,30273,Addison,Service toward Howard,813,Red,30273,Howard,1,2012-10-10 11:06:27-05,2012-10-10 11:07:27-05,1,0,0,0
273,30273,30273,Addison,Service toward Howard,804,Red,30273,Howard,1,2012-10-10 11:06:28-05,2012-10-10 11:17:28-05,0,0,0,0
274,30273,30273,Addison,Service toward Howard,902,Red,30273,Howard,1,2012-10-10 11:06:20-05,2012-10-10 11:21:20-05,0,0,0,0
275,30238,30238,47th,Service toward 95th,820,Red,30238,95th/Dan Ryan,5,2012-10-10 11:07:43-05,2012-10-10 11:17:43-05,0,0,0,0
276,30238,30238,47th,Service toward 95th,904,Red,30238,95th/Dan Ryan,5,2012-10-10 11:07:14-05,2012-10-10 11:22:14-05,0,0,0,0
277,30238,30238,47th,Service toward 95th,905,Red,30238,95th/Dan Ryan,5,2012-10-10 11:07:27-05,2012-10-10 11:25:27-05,0,0,0,0
278,30237,30237,47th,Service toward Howard,805,Red,30237,Howard,1,2012-10-10 11:07:42-05,2012-10-10 11:10:42-05,0,0,0,0
279,30237,30237,47th,Service toward Howard,819,Red,30237,Howard,1,2012-10-10 11:07:35-05,2012-10-10 11:16:35-05,0,0,0,0
280,30178,30178,63rd,Service toward 95th,844,Red,30178,95th/Dan Ryan,5,2012-10-10 11:07:42-05,2012-10-10 11:08:42-05,1,0,0,0
281,30178,30178,63rd,Service toward 95th,820,Red,30178,95th/Dan Ryan,5,2012-10-10 11:07:43-05,2012-10-10 11:23:43-05,0,0,0,0
282,30177,30177,63rd,Service toward Howard,819,Red,30177,Howard,1,2012-10-10 11:07:35-05,2012-10-10 11:10:35-05,0,0,0,0
283,30192,30192,69th,Service toward 95th,844,Red,30192,95th/Dan Ryan,5,2012-10-10 11:07:42-05,2012-10-10 11:11:42-05,0,0,0,0
284,30191,30191,69th,Service toward Howard,819,Red,30191,Howard,1,2012-10-10 11:07:35-05,2012-10-10 11:08:35-05,1,0,0,0
285,30047,30047,79th,Service toward 95th,844,Red,30047,95th/Dan Ryan,5,2012-10-10 11:07:42-05,2012-10-10 11:14:42-05,0,0,0,0
